provider_id,name,city,state,latitude,longitude,specialty,secondary_specialty,specialty_category,experience_years,service_cost,wait_time_days,patient_rating,risk_rate,certified,background_check_passed,network_type,capacity,telehealth_available,hospital_affiliation,CMS_quality_score,region,phone_no,address
P00001,Robert Gomez,City_1,WA,47.7511,-120.7401,Endocrinology,Ophthalmology,Specialty Care,1,583.31,5,2.87,0.96,FALSE,TRUE,Out-of-network,69,TRUE,Green and Sons Hospital,3.11,West,480-863-4812,"8517 Green Hollow, City_1, WA 54558"
P00002,Phillip Martinez,City_2,NY,43.3494,-74.1679,Orthopedics,Ophthalmology,Surgical,23,824.01,56,1.51,0.89,TRUE,TRUE,Out-of-network,137,TRUE,Dougherty-Benitez Hospital,4.82,East,+1-318-228-7117x9111,"27227 Holly Port Apt. 679, City_2, NY 41654"
P00003,Brett Morgan,City_3,AZ,34.1489,-110.9937,Psychiatry,Pediatrics,Specialty Care,9,378.81,40,4.37,0.09,FALSE,TRUE,Out-of-network,117,FALSE,Coffey-Marks Hospital,4.64,West,482.807.9392,"878 King Fords, City_3, AZ 44624"
P00004,Patricia Perry,City_4,CO,39.7001,-105.6321,Orthopedics,Neurology,Surgical,24,844.55,11,1.71,0.22,FALSE,FALSE,In-network,221,FALSE,Delgado PLC Hospital,4.25,West,562.255.4313,"48293 Ashley Station, City_4, CO 80867"
P00005,Lindsay Jordan,City_5,PA,41.4033,-76.9945,Ophthalmology,Ophthalmology,Specialty Care,11,263.65,60,3.86,0,TRUE,TRUE,In-network,398,TRUE,Mack Group Hospital,2.67,West,575-877-6137x2644,"182 Snyder Falls, City_5, PA 50011"
P00006,Margaret Kent,City_6,FL,28.2444,-81.5103,General Practice,ENT,Primary Care,2,121.61,55,4.06,0.63,TRUE,FALSE,Out-of-network,232,TRUE,Green-Mccullough Hospital,2.98,North,334.611.0740x01882,"2209 Adam Track Apt. 040, City_6, FL 65766"
P00007,Sophia Nelson,City_7,AZ,34.3489,-110.7937,Gastroenterology,ENT,Specialty Care,5,625.53,26,4.67,0.74,FALSE,FALSE,Out-of-network,284,TRUE,"Santana, Barron and White Hospital",2.53,East,4545673322,"21224 Davis Wall Apt. 131, City_7, AZ 38849"
P00008,Tracey Bray,City_8,CA,37.1283,-119.0679,Endocrinology,Cardiology,Specialty Care,15,611.49,49,1.95,0.33,FALSE,TRUE,In-network,130,FALSE,Pitts Inc Hospital,4.65,South,(519)539-7228x5944,"396 Murphy Stravenue Apt. 924, City_8, CA 37242"
P00009,Joseph Dennis,City_9,MA,42.8072,-70.9824,General Practice,Gastroenterology,Primary Care,31,127.31,59,1.27,0.09,TRUE,FALSE,Out-of-network,232,TRUE,Andrade Group Hospital,2.63,South,+1-743-540-9369x08576,"783 Michael Island Apt. 027, City_9, MA 06134"
P00010,Taylor Rodriguez,City_10,NV,39.2526,-115.9694,Endocrinology,Psychiatry,Specialty Care,35,734.02,40,4,0.58,TRUE,FALSE,In-network,295,FALSE,Neal Ltd Hospital,3.27,West,410.508.6031x97080,"325 Timothy Station, City_10, NV 46157"
